id,category,question,answer,answer_type,difficulty
digit_code_01,digit_code,The locker code is 482 today,What is the locker code,482,digit_code,easy
digit_code_02,digit_code,Room 317 is ready after lunch,Which room is ready,317,room_number,easy
digit_code_03,digit_code,My ticket number is 904,What is the ticket number,904,ticket_number,easy
digit_code_04,digit_code,Use gate code 621 for entry,What gate code should be used,621,digit_code,easy
digit_code_05,digit_code,The box label says B24,What does the box label say,B24,alphanumeric_id,easy
digit_code_06,digit_code,Our table number is 56A tonight,What is the table number,56A,alphanumeric_id,easy
digit_code_07,digit_code,The shelf code reads 738,What code reads on the shelf,738,digit_code,easy
digit_code_08,digit_code,Her badge number is 215,What is her badge number,215,digit_code,easy
digit_code_09,digit_code,The pickup tag is C19,What is the pickup tag,C19,alphanumeric_id,easy
digit_code_10,digit_code,Please remember door code 8642,What door code should be remembered,8642,digit_code,medium
digit_code_11,digit_code,The order slip shows 4091,What number does the order slip show,4091,digit_code,medium
digit_code_12,digit_code,Bus stop number 782 is nearby,Which bus stop number is nearby,782,digit_code,easy
digit_code_13,digit_code,The crate mark is D72,What is the crate mark,D72,alphanumeric_id,easy
digit_code_14,digit_code,Use room 146 for art club,What room is for art club,146,room_number,easy
digit_code_15,digit_code,The quiz access pin is 530,What is the quiz access pin,530,digit_code,easy
digit_code_16,digit_code,The receipt code ends with 291,What does the receipt code end with,291,digit_code,medium
digit_code_17,digit_code,Her cubby number is 624,What is her cubby number,624,digit_code,easy
digit_code_18,digit_code,The locker tag reads E38,What does the locker tag read,E38,alphanumeric_id,easy
digit_code_19,digit_code,Our lane number is 907,What is our lane number,907,digit_code,easy
digit_code_20,digit_code,The class code is 1184,What is the class code,1184,digit_code,medium
time_date_01,time_date,The meeting starts at nine tomorrow,When does the meeting start,nine,time,easy
time_date_02,time_date,We visit the park on Tuesday,What day do we visit the park,Tuesday,weekday,easy
time_date_03,time_date,The sale begins in April,When does the sale begin,April,month,easy
time_date_04,time_date,Class ends at three thirty today,When does class end,three thirty,time,easy
time_date_05,time_date,The picnic is planned for Saturday,What day is the picnic planned,Saturday,weekday,easy
